i,j
0,272
0,4014
1,50
1,300
2,2454
2,2977
3,353
3,1519
4,97
4,3082
5,843
5,1020
6,339
6,351
7,492
7,3771
8,1631
8,1749
9,171
9,679
10,121
10,2342
11,357
11,1508
12,432
12,788
13,802
14,340
14,3525
15,101
15,180
16,343
16,1017
17,487
17,861
18,1764
18,4418
19,124
19,1111
20,3806
20,4024
21,635
21,818
22,437
22,1161
23,560
23,1321
24,655
24,878
25,127
25,1061
26,99
26,3127
27,75
27,391
28,283
28,2596
29,1054
29,3539
30,401
30,473
31,228
31,2992
32,320
32,411
33,96
33,793
34,247
34,2208
35,590
35,838
35,2140
36,241
36,2099
37,222
37,578
38,519
38,3270
39,350
39,1856
40,1049
40,1698
41,2041
41,2425
42,2029
42,4080
43,1154
43,3196
44,362
44,2290
45,1728
45,3820
46,684
46,881
47,965
47,1053
48,73
48,3185
49,3104
49,3452
50,1098
51,236
51,4319
52,151
52,283
53,538
53,576
54,111
54,1009
55,300
55,3635
56,419
56,1010
57,1675
57,3605
58,302
58,1152
59,485
59,1373
60,841
60,1383
61,724
61,1042
62,150
62,434
63,733
63,790
64,113
64,168
65,752
65,3621
66,803
66,3505
67,1904
67,3099
68,488
68,864
69,91
69,1460
70,798
70,3670
71,333
71,3826
72,288
72,510
73,274
74,1023
74,3598
75,2951
76,460
76,3632
77,599
77,1334
78,714
78,1391
79,871
79,1093
80,1304
80,2443
81,89
81,3611
82,108
82,848
83,665
83,2707
84,886
84,4220
85,899
85,1600
86,123
86,2578
87,751
87,3250
88,348
88,417
89,434
90,927
90,1330
91,299
92,354
92,1013
93,2845
93,3378
94,122
94,1638
95,374
95,2342
96,265
97,4188
98,209
98,1111
99,423
100,4094
100,4216
101,345
102,1587
102,3748
103,158
103,1068
104,370
104,620
105,413
105,3555
106,264
106,2131
107,713
107,4351
108,1154
109,384
109,945
110,1197
110,1811
111,429
112,458
112,1976
113,381
114,151
114,2858
115,1260
115,4087
116,3712
116,3808
117,1162
117,3053
118,978
118,1924
119,224
119,296
120,121
120,221
122,3989
123,2357
124,345
125,920
125,4343
126,499
126,2273
127,359
128,168
128,758
129,889
129,915
130,1956
130,3935
131,3409
131,4079
132,294
132,3775
133,2131
133,4388
134,471
134,3619
135,536
135,843
136,199
136,1066
137,314
137,863
138,534
138,4097
139,514
139,2787
140,253
140,296
141,186
141,269
142,149
142,3637
143,894
143,3198
144,380
144,572
145,317
145,335
146,323
146,781
147,282
147,812
148,305
148,314
148,1100
149,3611
150,246
152,435
152,2444
153,299
153,489
154,1503
154,3023
155,828
155,1026
156,970
156,2775
157,1502
157,1790
158,884
159,499
159,3885
160,1376
160,2696
161,406
161,4388
162,903
162,2057
163,361
163,1882
164,411
164,749
165,483
165,877
166,387
166,3854
167,219
167,1621
169,412
169,1796
170,2019
170,3862
171,414
172,594
172,2345
173,308
173,2899
174,200
174,650
175,402
175,1152
176,249
176,4193
177,658
177,1072
178,256
178,666
179,204
179,1101
180,224
181,979
181,2714
182,694
182,3701
183,643
183,1047
184,386
184,958
185,1039
185,2031
186,242
187,235
187,1135
188,310
188,1898
189,232
189,4247
190,1473
190,1949
191,265
191,597
192,308
192,343
193,650
193,1542
194,525
194,1106
195,665
195,797
196,949
196,952
197,334
197,3017
198,277
198,590
199,236
200,294
201,719
201,1937
202,638
202,2821
203,1158
203,1261
204,939
205,1043
205,1593
206,1062
206,1672
207,379
207,2431
208,994
208,2286
209,3806
210,312
210,1966
211,446
211,3067
212,386
212,583
213,2596
213,3663
214,252
214,313
215,812
215,2899
216,1444
216,2703
217,538
217,2270
218,822
218,2091
219,1137
220,554
220,2149
221,4097
222,242
223,813
223,2427
225,1050
225,1737
226,1349
226,3748
227,536
227,1016
228,4399
229,336
229,2338
230,1721
230,3852
231,639
231,648
232,510
233,491
233,577
234,3750
234,4283
235,999
237,1046
237,1578
238,953
238,1115
239,492
239,645
240,389
240,979
241,243
243,696
244,1006
244,2267
245,367
245,398
246,3321
247,1542
248,344
248,820
249,370
250,1431
250,3677
251,620
251,2625
252,401
253,319
254,1019
254,2431
255,612
255,983
256,576
257,853
257,4351
258,687
258,821
259,861
259,1888
260,346
260,1664
261,1089
261,3756
262,1959
262,2767
263,420
263,523
264,1422
266,444
266,3752
267,746
267,1332
268,269
268,584
270,388
270,1016
271,1619
271,2885
271,3537
272,297
273,889
273,3775
274,309
275,1308
275,3701
276,844
276,2045
277,4365
278,1875
278,3909
279,328
279,394
280,1012
280,1321
281,578
281,955
282,955
284,430
284,1149
285,309
285,2350
286,1390
286,1522
287,1422
287,1626
288,980
289,1826
289,4250
290,1519
290,4193
291,297
291,453
292,382
292,433
293,1494
293,1818
295,320
295,1089
298,353
298,1589
301,2687
301,3353
302,3321
303,598
303,3373
304,506
304,996
305,2091
306,550
306,1056
307,398
307,1265
309,3075
310,763
311,1019
311,1106
312,321
313,1065
315,1178
315,4134
316,630
316,1009
317,469
318,1043
318,2731
319,2029
321,904
322,1044
322,1073
323,1066
324,3228
324,3784
325,822
325,2619
326,770
326,814
327,652
327,4325
328,1110
329,478
329,1148
330,368
330,713
331,728
331,4295
332,1192
332,4009
333,774
334,527
335,2397
336,3017
337,2315
337,3691
338,986
338,4199
339,1034
340,1289
341,460
341,635
342,470
342,2880
344,2357
346,2037
347,373
347,388
348,523
349,409
349,3814
350,964
351,1649
352,3282
352,3324
354,1485
355,951
355,2463
356,512
356,797
357,3411
358,1524
358,3804
359,394
360,532
360,2631
361,518
362,4026
363,376
363,695
364,655
364,4178
365,4251
365,4376
366,399
366,1091
367,3820
368,953
369,1364
369,4302
371,1121
371,4246
372,972
372,3632
373,4128
374,803
375,785
375,1382
376,961
377,1498
377,1809
378,2715
378,3155
379,3709
380,773
381,1589
382,1332
383,2804
383,4123
384,479
385,892
385,4343
387,991
389,4216
390,439
390,4077
391,3631
392,1998
392,3178
393,1865
393,2347
395,1120
395,4247
396,1072
396,1139
397,562
397,613
399,923
400,522
400,777
402,3359
403,1459
403,4326
404,542
404,1160
405,1504
405,2820
406,1233
407,1235
407,2050
408,442
408,2248
409,1644
410,1572
410,2551
412,1109
413,1901
414,3409
415,854
415,1041
416,417
416,696
418,647
418,914
419,886
420,900
421,810
421,2129
422,841
422,3605
423,995
424,425
424,1555
425,438
426,1290
426,1291
427,525
427,967
428,777
428,1819
429,1155
430,2290
431,1661
431,3456
432,4031
433,1580
435,541
436,2282
436,3256
437,3178
438,463
439,659
440,1600
440,2163
441,446
441,456
442,913
443,831
443,982
444,1068
445,1044
445,1069
447,3117
447,3652
448,1700
448,4089
449,1483
449,4206
450,898
450,3878
451,465
451,662
452,1124
452,4082
453,881
454,947
454,4234
455,1228
455,2523
456,1819
457,1386
457,3460
458,563
459,2139
459,2982
461,1809
461,3738
462,2638
462,3243
463,487
464,1322
464,1518
465,566
466,1429
466,3269
467,1324
467,2199
468,1514
468,4000
469,567
470,3078
471,805
472,874
472,2247
473,1241
474,1086
474,1105
475,749
475,3385
476,493
476,1663
477,608
477,679
478,1107
479,980
480,1149
480,1591
481,957
481,2080
482,941
482,2850
483,3617
484,1584
484,2014
485,503
486,1853
486,2894
488,868
489,2454
490,1006
490,2117
491,4027
493,2814
494,1782
494,3847
495,830
495,3802
496,1274
496,2241
497,595
497,1147
498,2286
498,4125
500,3152
500,3606
501,865
501,4245
502,566
502,727
503,960
504,1396
504,2490
505,3772
505,3929
506,1057
507,835
507,1083
508,986
508,3983
509,1225
509,2477
511,555
511,1021
512,1100
513,2883
513,3324
514,2880
515,2640
515,3871
516,1124
516,3945
517,3692
517,3749
518,923
519,1363
520,1794
520,2928
521,1709
521,3821
522,992
524,2724
524,4112
526,535
526,964
527,1380
528,2858
528,3359
529,1119
529,3288
530,1275
530,3152
531,916
531,2026
532,2090
533,2280
533,2869
534,2082
535,1373
537,1774
537,2077
539,800
539,1265
540,1444
540,2704
541,591
542,731
543,828
543,2619
544,2185
544,3205
545,1846
545,2623
546,806
546,1030
547,721
547,2320
548,731
548,3595
549,1837
549,2294
550,1312
551,2409
551,4106
552,599
552,3570
553,832
553,981
554,624
555,2625
556,1064
556,1635
557,3999
557,4250
558,858
558,1113
559,3484
559,3535
560,2321
561,1803
561,2463
562,736
563,636
564,568
564,1593
565,2398
565,3357
567,838
568,1971
569,1875
569,3915
570,909
570,2746
571,1000
571,1503
572,4199
573,1794
573,2343
574,3945
574,4187
575,686
575,1055
577,2783
579,1163
579,2796
580,1924
580,3442
581,755
581,2090
582,1192
582,3934
583,966
584,758
585,2610
585,3050
586,1320
586,2789
587,2394
587,2460
588,1166
588,3077
589,973
589,1758
591,831
592,2117
592,4079
593,1870
593,4198
594,2941
595,3960
596,2239
596,3653
597,1233
598,4271
600,845
600,1616
601,1977
601,3346
602,2007
602,3873
603,941
603,1917
604,699
604,1851
605,919
605,2536
606,1445
606,3921
607,666
607,900
608,1020
609,2304
609,4415
610,2811
610,4038
611,971
611,1868
612,4133
613,880
614,4093
614,4201
615,1793
615,2889
616,708
616,3636
617,1026
617,3756
618,3762
618,4327
619,842
619,1078
621,2441
621,3591
622,1671
622,2037
623,706
623,2427
624,4083
625,1153
625,1675
626,1877
626,2971
627,1986
627,2970
628,1601
628,4003
629,1038
629,3805
630,2255
631,3401
631,4141
632,2900
632,4219
633,1132
633,4397
634,2148
634,3104
636,1114
637,819
637,1132
638,1187
639,3159
640,734
640,1308
641,1964
641,4141
642,1082
642,3517
643,1129
644,873
644,3239
645,862
646,1820
646,2228
647,3386
648,3353
649,2332
649,2531
651,1671
651,2145
652,2321
653,987
653,1184
654,1302
654,1510
656,2394
656,4338
657,1453
657,2704
658,2374
659,2030
660,799
660,910
661,1526
661,2231
662,1796
663,1427
663,3717
664,1873
664,2581
667,1086
667,2312
668,1395
668,1873
669,780
669,4219
670,1516
670,4142
671,1452
671,3263
672,1240
672,2305
673,1691
674,2129
674,2898
675,1887
675,4432
676,1171
676,3250
677,1090
677,4275
678,902
678,4139
680,1169
680,3689
681,716
681,1030
