i,j
0,1558
0,1980
1,124
1,3524
2,1044
2,1508
3,484
3,3912
4,2467
4,3645
5,1027
5,2972
6,559
6,3274
7,423
7,3449
8,203
8,391
9,635
9,717
10,492
10,3475
11,971
11,1248
12,626
12,3765
13,264
13,288
14,460
14,630
15,838
15,1186
16,686
16,2454
17,139
17,180
18,590
18,695
19,1758
19,2927
20,165
20,176
21,290
21,333
22,2062
22,2533
23,769
23,773
24,30
24,68
25,1244
25,1548
26,36
26,3714
27,78
27,3852
28,417
28,3362
29,228
29,1034
30,682
31,218
31,769
32,122
32,650
33,191
33,2442
34,497
34,3246
35,1565
35,3727
36,652
37,768
37,1562
38,609
38,694
39,1011
39,1556
40,706
40,1936
41,1535
41,3613
42,958
42,3691
43,684
43,3095
44,911
44,1895
45,325
45,479
46,219
46,745
47,383
47,735
48,578
48,3246
49,455
49,3299
50,778
50,3104
51,595
51,607
52,616
52,3090
53,221
53,598
54,1002
54,3593
55,560
55,785
56,317
56,490
57,289
57,3313
58,462
58,918
59,885
59,1317
60,2198
60,3067
61,583
61,958
62,635
62,998
63,1062
63,1072
64,1311
64,2995
65,1335
65,1740
66,521
66,1562
67,128
67,854
68,481
69,199
69,1054
70,124
70,735
71,2215
71,3779
72,640
72,3322
73,376
73,584
74,748
74,3490
75,253
75,606
76,572
76,1001
77,614
77,1202
78,3858
79,482
79,651
80,133
80,1123
81,158
81,3381
82,1106
82,1377
83,366
83,812
84,202
84,622
85,1167
85,3221
86,472
86,1355
87,599
87,986
88,127
88,3049
89,1556
89,3251
90,775
90,2849
91,235
91,3366
92,412
92,598
93,392
93,723
94,189
94,1499
95,159
95,340
96,1349
96,2096
97,507
97,1002
98,427
98,3708
99,1067
99,3458
100,1588
100,3154
101,158
101,356
102,632
102,780
103,341
103,819
104,1466
104,3487
105,401
105,3076
106,525
106,2945
107,409
107,1192
108,1469
108,1536
109,1202
109,1708
110,602
110,1252
111,1921
111,2443
112,384
112,1349
113,254
113,728
114,3265
114,3288
115,288
115,391
116,1040
116,1605
117,290
117,739
118,243
118,2938
119,1261
119,1427
120,905
120,3970
121,185
121,442
122,556
123,1224
123,1335
125,298
125,3109
126,567
126,2096
127,351
128,430
129,469
129,1383
130,2809
130,3729
131,996
131,1346
132,250
132,367
133,3532
134,836
134,1099
135,519
135,1655
136,877
136,1439
137,624
137,1393
138,678
138,1364
139,3571
140,627
140,1237
141,892
141,1492
142,766
142,767
143,366
143,1217
144,765
144,2954
145,890
145,1018
146,300
146,316
147,552
147,628
148,827
148,3275
149,304
149,3653
150,746
151,294
151,1460
152,2034
152,3818
153,541
153,3479
154,1168
154,1479
155,605
155,633
156,2814
156,3027
157,597
157,959
159,3262
160,224
160,1499
161,304
161,862
162,463
162,1351
163,966
163,2256
164,3691
164,3956
165,747
166,167
166,809
167,3091
168,1962
168,2281
169,1523
169,3435
170,544
170,873
171,1120
171,2805
172,449
172,873
173,781
173,942
174,1471
174,2890
175,232
175,2314
176,2143
177,1042
177,1719
178,629
178,3647
179,1838
179,2092
180,449
181,329
181,1360
182,564
182,1198
183,1339
183,3215
184,984
184,1013
185,3960
186,2752
186,3994
187,483
187,3274
188,641
188,2959
189,227
190,471
190,1485
191,500
192,1446
192,1516
193,1319
193,3661
194,1938
194,2472
195,937
195,3401
196,1267
196,2450
197,901
197,1071
198,209
198,3644
199,1172
200,385
200,1808
201,338
201,1110
202,492
203,693
204,551
204,1095
205,282
205,719
206,601
206,3795
207,264
207,608
208,324
208,1027
209,664
210,1466
210,1494
211,2900
211,3291
212,2038
212,2553
213,2314
213,3522
214,1069
214,2560
215,941
215,2304
216,2404
216,2688
217,437
217,702
218,710
219,3244
220,1297
220,3988
221,2276
222,675
222,3651
223,248
223,736
224,273
225,462
225,563
226,634
226,3891
227,636
228,1270
229,696
229,1292
230,1372
230,2276
231,350
231,753
232,450
233,829
233,2094
234,1255
234,3262
235,2767
236,398
236,1629
237,1009
237,3221
238,502
238,723
239,302
239,470
240,708
240,3848
241,994
241,1116
242,485
242,702
243,1984
244,2133
244,3239
245,266
245,600
246,347
246,782
247,251
247,588
248,285
249,3679
249,3896
250,3571
251,652
252,545
252,1359
253,2519
254,820
255,2266
255,3910
256,2032
256,2038
257,608
257,799
258,938
258,3859
259,364
259,998
260,3109
260,3829
261,278
261,323
262,596
262,3082
263,1199
263,3252
265,632
265,1252
266,790
267,1222
267,1725
268,1053
268,1417
269,388
269,485
270,738
270,1276
271,2580
271,2706
272,1323
272,3181
273,1442
274,476
274,733
275,1418
275,1568
276,891
276,3852
277,822
277,2814
278,1858
279,446
279,2923
280,1855
280,3493
281,1759
281,3573
282,605
283,572
283,1025
284,392
284,1402
285,930
286,365
286,1082
287,2999
287,3259
289,1077
291,3903
291,3917
292,922
292,1029
293,593
293,703
294,2637
295,646
295,840
296,1074
296,1523
297,1327
297,2797
298,3781
299,807
299,1850
300,388
301,1416
301,3647
302,367
303,425
303,458
305,703
305,3631
306,920
306,2553
307,363
307,1865
308,1309
308,2045
309,1097
309,1334
310,447
310,834
311,757
311,1719
312,410
312,1441
313,682
313,1217
314,2083
314,3891
315,417
315,563
316,1909
317,545
318,980
318,3368
319,706
319,1406
320,742
320,3747
321,1933
321,2392
322,530
322,3379
323,1178
324,3616
325,434
326,450
326,1506
327,2400
327,3874
328,710
328,774
329,1493
330,2334
330,2510
331,2312
331,3821
332,701
332,3308
333,1699
334,2947
334,3028
335,1225
335,1814
336,1858
336,2667
337,1721
337,3930
338,1176
339,1218
339,1880
340,1729
341,1630
342,435
342,777
343,1051
343,1126
344,432
344,1043
345,376
345,2151
346,549
346,677
347,3804
348,1702
348,2858
349,445
349,1379
350,805
351,1795
352,410
352,755
353,1151
353,3450
354,2735
354,3773
355,520
355,2417
356,3387
357,403
357,727
358,382
358,569
359,1259
359,3522
360,691
360,935
361,3461
361,3602
362,478
362,525
363,795
364,621
365,3049
368,378
368,1262
369,658
369,794
370,1263
370,1390
371,1254
371,1420
372,506
372,1982
373,879
373,2008
374,2458
374,3960
375,704
375,1069
377,524
377,2937
378,3907
379,570
379,770
380,1119
380,2985
380,3335
381,983
381,1835
382,481
383,793
384,1696
385,3320
386,582
386,3783
387,443
387,3426
389,1798
389,3495
390,1371
390,3880
393,627
393,1519
394,2678
394,3279
395,1512
395,3480
396,1494
396,3244
397,2991
397,3812
398,2971
399,718
399,2886
400,2035
400,3385
401,759
402,886
402,3369
403,1355
404,904
404,2470
405,1091
405,1580
406,610
406,1241
407,803
407,1769
408,2171
408,2938
409,2560
411,1221
411,1284
412,858
413,2727
413,3121
414,988
414,1157
415,3564
415,3613
416,2063
416,2769
418,713
418,3510
419,1509
419,3530
420,2171
420,3961
421,2052
421,3362
422,1114
422,2975
423,1326
424,1105
424,1538
425,540
426,555
426,1001
427,1801
427,3466
428,434
428,3486
429,895
429,2388
430,1176
431,569
431,3831
432,764
433,529
433,2942
435,1206
436,1361
436,3901
437,503
438,508
438,783
439,628
439,1061
440,917
440,1249
441,749
441,1289
442,3668
443,3776
444,891
444,2095
445,629
446,574
447,872
448,1958
448,3461
451,2869
451,3173
452,1014
452,1205
453,1022
453,2417
454,928
454,1119
455,736
456,490
456,1258
457,931
457,957
458,1074
459,585
459,3562
460,759
461,916
461,1208
463,2937
464,776
464,2173
465,3082
465,3499
466,1620
466,3821
467,2133
467,2911
468,1597
468,3644
469,1411
470,655
471,1180
472,1574
472,3554
473,539
473,1487
474,1981
474,3028
475,887
475,3354
476,620
477,1658
477,2400
478,2797
479,518
480,590
480,3524
482,696
483,3763
484,538
486,918
486,1718
487,711
487,1740
488,670
488,3334
489,751
489,3201
491,1599
491,1619
493,599
493,712
494,803
494,3848
495,1889
495,3483
496,1087
496,3353
497,588
498,2353
498,3990
499,2209
499,3427
500,790
501,2118
501,2973
502,799
503,773
504,961
504,1189
505,760
505,1378
506,796
507,1348
508,782
509,672
509,2709
510,1085
510,1358
511,2768
511,3682
512,1068
512,1327
513,1905
513,3417
514,959
514,3237
515,2459
515,3809
516,1698
516,2118
517,649
517,1039
518,570
519,987
520,2702
521,1287
522,777
522,3264
523,3568
523,3775
524,1839
526,1185
526,1413
527,535
527,658
528,1623
528,3083
529,838
530,1532
531,3742
531,3964
532,1136
532,1209
533,1051
533,3834
534,975
534,2281
535,728
536,1277
536,1441
537,2290
537,2849
538,1300
539,910
540,3771
541,2765
542,1016
542,1294
543,1418
543,3635
544,746
546,2141
546,2415
547,567
547,3912
548,1686
548,3443
549,3247
550,1014
550,1147
551,2700
552,1351
553,1976
553,2533
554,1158
554,1348
555,1292
556,3668
557,1308
557,2149
558,840
558,869
559,740
560,1149
561,692
561,1253
562,863
562,1137
564,2964
565,3091
565,3518
566,644
566,1122
568,2373
568,3915
571,709
571,3394
573,1511
573,3235
574,603
575,1321
575,3885
576,762
576,1359
577,1022
577,3398
578,3804
579,761
579,3829
580,957
580,1237
581,1713
581,3495
582,1542
583,3915
584,1088
585,3201
586,1493
586,3347
587,1146
587,3824
589,1153
589,3193
591,1365
591,3717
592,770
592,2886
593,718
594,984
594,1366
595,1487
596,2588
597,962
600,2812
601,2315
602,2250
603,2442
604,1284
604,3449
606,641
607,1277
609,944
610,741
611,876
611,933
612,2005
612,2418
613,1025
613,3299
614,3044
615,1491
615,1561
616,1456
617,1200
617,1593
618,661
618,3275
619,947
619,1377
620,660
621,3596
622,744
623,1486
623,1940
624,688
625,1225
625,3924
626,3479
630,1702
631,2752
631,2980
632,1152
633,1034
634,2890
636,754
637,1708
637,3465
638,1141
638,1197
639,1603
639,3867
640,1046
642,1197
642,1221
643,1402
643,3264
644,1813
645,789
645,3317
646,1390
647,1041
647,2932
648,820
648,3907
649,1262
650,689
651,663
653,837
